nl,code
"connect to the database with $engine$, execute the SQL ( get the version column in the POSTGRES_SCHEMA_NAME where version is $version$ ) , get the first data, and finally return the query results.","public Object testCreatesUserVersionPostgresqlTable ( DataSource engine , String version ) { JdbcTemplate conn = new JdbcTemplate ( engine ) ; List < Object > res = conn . query ( "" select version from POSTGRES_SCHEMA_NAME where version = ? "" , new Object [ ] { version } , new BeanPropertyRowMapper ( List . class ) ) ; return res . get ( 0 ) ; }"
"Execute SQL through $conn$ ( query all columns in the pos_incidents table according to $time$ ) , get all the query results, print the length of the query results, and return the query results.","public List < Object > selectPosIncidents ( JdbcTemplate conn , String time ) { List < Object > res = conn . query ( "" select * from pos_incidents where time = ? "" , new Object [ ] { time } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( res . size ( ) ) ; return res ; }"
"Connect to the database with $engine$ and execute SQL ( query all columns in cdcTweet where tweet is $tweet$ ) , use the for loop to store the second element of each item in the query result into a list. Use jsonify to handle the list content and return.","public JSONObject cdcTweet ( JdbcTemplate engine , String tweet ) { JSONObject json = null ; List < List > result = engine . query ( "" select * from cdcTweet where tweet = ? "" , new Object [ ] { tweet } , new BeanPropertyRowMapper ( List . class ) ) ; for ( final List row : result ) { json = new JSONObject ( new HashMap ( ) { { put ( "" row[2] "" , row . get ( 1 ) ) ; } } ) ; } return json ; }"
"Use $conn$ to execute SQL ( query the city information in the geojson table based on $latitude$ and $longitude$ ) . Use for loop to add the execution result to the list. Take the list data as the corresponding value of ""res"" in the mapionary and return.","public List detectCity ( JdbcTemplate conn , String latitude , String longitude ) { List < Object > res = conn . query ( "" select city from geojson where longitude = ? and latitude = ? "" , new Object [ ] { longitude , latitude } , new BeanPropertyRowMapper ( List . class ) ) ; return res ; }"
"Use $engine$ to connect to the database. Execute the SQL statement ( query the first piece of name data in the database based on $ident$ ) . If the query result exists, return the query result.","public List getNameDatabase ( DataSource engine , String ident ) { JdbcTemplate conn = new JdbcTemplate ( engine ) ; List < List > res = conn . query ( "" select name from database where ident = ? "" , new Object [ ] { ident } , new BeanPropertyRowMapper ( List . class ) ) ; if ( ! res . get ( 0 ) . isEmpty ( ) ) { return res . get ( 0 ) ; } else { return new ArrayList ( ) ; } }"
"Establish a connection through $engine$. Execute the SQL statement ( query all the columns in the tochka_insider table according to $trader_name$ ) , get all the data, close the connection, and return the result of the execution statement.","public List insiderNameApi ( DataSource engine , String trader_name ) { JdbcTemplate connection = new JdbcTemplate ( engine ) ; List < Object > result = connection . query ( "" select * from tochka_insider where trader_name = ? "" , new Object [ ] { trader_name } , new BeanPropertyRowMapper ( List . class ) ) ; return result ; }"
Get the database engine via $postgresql$. Execute SQL statement ( query all columns in stock_data table based on $id$ and $date$ ) and get all the data. Use for loop to iterate through query result and store in list. Convert list to json and return.,"public Object stockData ( DataSource postgresql , String id , String date ) { JdbcTemplate engine = new JdbcTemplate ( postgresql ) ; List < Object > stock = engine . query ( "" select * from stock_data where id = ? and date = ? "" , new Object [ ] { date } , new BeanPropertyRowMapper ( List . class ) ) ; JSONArray json = new JSONArray ( stock ) ; return json ; }"
"Execute the SQL using $db$ ( get the name column in the users where id is $id$ ) and get all the data, then print the query results, make sure the $db$ connection is closed, and finally return the rendered ""viewallusers.html"" with the data parameter as the result of the query.","public String doTransfer ( Model model , JdbcTemplate db , String id ) { List < Object > data = db . query ( "" select name from users where id = ? "" , new Object [ ] { id } , new BeanPropertyRowMapper ( List . class ) ) ; System . out . println ( data . toString ( ) ) ; model . addAttribute ( "" data "" , data ) ; return "" viewallusers.html "" ; }"
Execute the SQL ( query all columns in the passengers table where passenger_name is $passenger_name$ ) using $db$ and get all the data. Print each piece of data using a for loop.,"public void main ( JdbcTemplate db , String passenger_name ) { List < Object > passengers = db . query ( "" select * from passenegers where passenger_name = ? "" , new Object [ ] { passenger_name } , new BeanPropertyRowMapper ( List . class ) ) ; for ( Object p : passengers ) { System . out . println ( p . toString ( ) ) ; } }"
"Set up SQL ( query all the information in the db_name table based on $db_uri$ ) , execute SQL with $conn$ and get all query results. Close the connection, use for loop to iterate through all query results, insert each piece of data into a list, and return the list.","public List selectValue ( JdbcTemplate conn , String db_uri ) { String query_sql = "" select * from db_name where db_uri = ? "" ; List < Object > db_names = conn . query ( query_sql , new Object [ ] { db_uri } , new BeanPropertyRowMapper ( List . class ) ) ; return db_names ; }"
